prompt,categories,topic_domain,intent_type,confidence,token_count,best_model
Analyze economic implications of remote work (variation 52),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",8,MoonshotAI Kimi
"Hello, how are you? (variation 72)",['general'],casual,question,"{'category': 0.75, 'domain': 0.125, 'intent': 1.0, 'overall': 0.6458333333333334}",6,GPT-OSS
Analyze economic implications of remote work (variation 83),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",8,GPT-OSS
"Hello, how are you? (variation 88)",['general'],casual,question,"{'category': 0.75, 'domain': 0.125, 'intent': 1.0, 'overall': 0.6458333333333334}",6,MoonshotAI Kimi
Compare machine learning algorithms (variation 24),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",6,TNG DeepSeek
Optimize SQL query performance (variation 2),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",6,GPT-OSS
Help me plan a vacation (variation 38),['general'],casual,instruction,"{'category': 0.3, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.3333333333333333}",7,MoonshotAI Kimi
Tell me a fun fact about dolphins (variation 21),['general'],casual,instruction,"{'category': 0.25, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.3125}",9,GPT-OSS
Evaluate pros and cons of cryptocurrency (variation 22),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.9375}",8,GLM4.5
Prove mathematical theorems (variation 49),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.7916666666666666}",5,Qwen3
Give me cooking advice (variation 42),['general'],casual,question,"{'category': 0.3, 'domain': 0.375, 'intent': 0.0, 'overall': 0.25}",6,MoonshotAI Kimi
Tell me a fun fact about dolphins (variation 80),['general'],casual,instruction,"{'category': 0.25, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.3125}",9,MoonshotAI Kimi
Help me plan a vacation (variation 47),['general'],casual,instruction,"{'category': 0.3, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.3333333333333333}",7,GPT-OSS
