prompt,categories,topic_domain,intent_type,confidence,token_count,best_model,true_category
Build a web scraper using BeautifulSoup (variation 436),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GLM4.5,coding
Build a GraphQL API with Node.js (variation 72),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 122),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Build a GraphQL API with Node.js (variation 459),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,GPT-OSS,coding
Debug this JavaScript React component (variation 872),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,GPT-OSS,coding
Create a REST API using Flask/Django (variation 344),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Set up a Docker container for microservices (variation 386),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 460),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 857),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 476),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,GPT-OSS,coding
Implement caching with Redis (variation 190),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Implement data structures like linked lists (variation 876),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 485),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,TNG DeepSeek,coding
Write unit tests for this Python class (variation 167),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 242),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 340),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 428),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Implement caching with Redis (variation 35),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GPT-OSS,coding
Debug this JavaScript React component (variation 562),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,GPT-OSS,coding
Create a REST API using Flask/Django (variation 390),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Debug this JavaScript React component (variation 822),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Write async/await functions in JavaScript (variation 730),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 958),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,GPT-OSS,coding
Create a responsive CSS layout (variation 271),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Create a database schema for e-commerce (variation 725),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Write async/await functions in JavaScript (variation 879),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GPT-OSS,coding
Optimize memory usage in this algorithm (variation 41),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 65),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Write unit tests for this Python class (variation 344),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Create a database schema for e-commerce (variation 472),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Implement data structures like linked lists (variation 593),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Optimize this SQL query for better performance (variation 289),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 231),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,GLM4.5,coding
Build a web scraper using BeautifulSoup (variation 201),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 33),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 99),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 961),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Implement caching with Redis (variation 462),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GLM4.5,coding
Implement a machine learning model in TensorFlow (variation 218),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
